indice_tiempo,delito_01_victi_buenos_aires,delito_01_victi_caba,delito_01_victi_catamarca,delito_01_victi_chaco,delito_01_victi_chubut,delito_01_victi_cordoba,delito_01_victi_corrientes,delito_01_victi_entre_rios,delito_01_victi_formosa,delito_01_victi_jujuy,delito_01_victi_la_pampa,delito_01_victi_la_rioja,delito_01_victi_mendoza,delito_01_victi_misiones,delito_01_victi_neuquen,delito_01_victi_rio_negro,delito_01_victi_salta,delito_01_victi_san_juan,delito_01_victi_san_luis,delito_01_victi_santa_cruz,delito_01_victi_santa_fe,delito_01_victi_sgo_estero,delito_01_victi_tierra_fuego,delito_01_victi_tucuman,t_delito_01_v_buenos_aires,t_delito_01_v_caba,t_delito_01_v_catamarca,t_delito_01_v_chaco,t_delito_01_v_chubut,t_delito_01_v_cordoba,t_delito_01_v_corrientes,t_delito_01_v_entre_rios,t_delito_01_v_formosa,t_delito_01_v_jujuy,t_delito_01_v_la_pampa,t_delito_01_v_la_rioja,t_delito_01_v_mendoza,t_delito_01_v_misiones,t_delito_01_v_neuquen,t_delito_01_v_rio_negro,t_delito_01_v_salta,t_delito_01_v_san_juan,t_delito_01_v_san_luis,t_delito_01_v_santa_cruz,t_delito_01_v_santa_fe,t_delito_01_v_sgo_estero,t_delito_01_v_tierra_fuego,t_delito_01_v_tucuman
2001,1658,159,14,100,34,170,84,96,39,28,10,8,131,97,50,54,56,23,16,12,212,36,4,38,12,5.6999998,4.1999998,10.2,8.1999998,5.5,9,8.3000002,8,4.5999999,3.3,2.8,8.3000002,10,10.5,9.8000002,5.1999998,3.7,4.3000002,6.0999999,7.0999999,4.5,4,2.8
2002,1970,179,14,117,48,165,72,104,61,12,11,4,163,81,41,43,89,13,12,12,254,48,2,55,14,6.4000001,4.0999999,11.8,11.3,5.3000002,7.6999998,8.8999996,12.4,1.9,3.5999999,1.4,10.2,8.3000002,8.5,7.5999999,8.1000004,2.0999999,3.2,5.9000001,8.3999996,5.9000001,1.9,4.0999999
2003,1413,146,10,76,31,144,72,116,39,21,10,8,182,89,41,48,60,18,20,28,276,39,2,78,9.8999996,5.1999998,2.9000001,7.5999999,7.0999999,4.5999999,7.5999999,9.8000002,7.8000002,3.3,3.3,2.7,11.2,8.8999996,8.3000002,8.3999996,5.4000001,2.8,5.1999998,13.2,9,4.8000002,1.9,5.6999998
2004,1046,133,5,67,37,121,56,64,42,19,8,8,139,76,29,39,68,8,20,8,251,47,6,41,7.1999998,4.6999998,1.4,6.5999999,8.3000002,3.8,5.8000002,5.4000001,8.3000002,3,2.5999999,2.5999999,8.5,7.5,5.6999998,6.6999998,6,1.2,5.0999999,3.5999999,8.1000004,5.6999998,5.4000001,3
2005,903,138,7,72,40,132,59,60,45,25,5,9,121,76,35,35,63,15,10,9,254,37,1,47,6.1999998,4.8000002,2,7,8.8000002,4.0999999,6.0999999,5,8.6999998,3.9000001,1.6,2.9000001,7.3000002,7.4000001,6.8000002,5.9000001,5.5,2.3,2.5,3.9000001,8.1999998,4.4000001,.89999998,3.3
2006,821,119,6,76,44,129,48,65,39,38,11,12,133,81,37,38,60,7,15,13,216,38,3,62,5.5,4.0999999,1.7,7.3000002,9.3999996,4,4.9000001,5.4000001,7.5,5.8000002,3.5,3.8,7.9000001,7.8000002,7,6.3000002,5.0999999,1.1,3.7,5.5,6.9000001,4.5,2.5999999,4.4000001
2007,917,122,4,60,32,127,50,69,44,32,13,5,98,57,33,30,37,16,6,11,300,27,1,48,6.0999999,4.0999999,1.1,5.6999998,6.6999998,3.9000001,5.0999999,5.5999999,8.3000002,4.9000001,4.0999999,1.5,5.6999998,5.4000001,6.0999999,4.9000001,3.0999999,2.4000001,1.4,4.5,9.5,3.2,.80000001,3.3
2008,1076,144,3,50,39,138,46,90,33,28,6,7,136,70,38,28,49,19,11,15,276,30,4,35,7,4.8000002,.80000001,4.6999998,8,4.1999998,4.5999999,7.3000002,6.1999998,4.1999998,1.9,2.0999999,7.9000001,6.5,6.9000001,4.5,4.0999999,2.8,2.5999999,5.9000001,8.6000004,3.5,3.2,2.4000001
2009,1263,157,6,66,57,130,45,78,39,40,21,2,119,71,41,50,59,11,18,8,280,31,6,44,8.1999998,5.1999998,1.6,6.1999998,11.4,3.9000001,4.5,6.3000002,7.1999998,5.9000001,6.5,.60000002,6.8000002,6.5,7.3000002,7.9000001,4.8000002,1.6,4.0999999,3,8.6999998,3.5999999,4.6999998,3
2010,1105,168,9,69,47,92,47,51,36,27,9,7,111,62,32,59,62,12,15,13,272,37,6,36,7,5.5,2.4000001,6.4000001,9.1999998,2.7,4.5999999,4.0999999,6.5,4,2.8,2,6.3000002,5.5999999,5.5999999,9.1000004,5,1.7,3.4000001,4.6999998,8.3000002,4.1999998,4.5999999,2.4000001
2011,1160,190,5,64,35,114,35,55,41,33,12,9,124,47,36,49,59,27,8,16,302,33,4,53,7.3000002,6.3000002,1.3,5.9000001,6.6999998,3.3,3.4000001,4.3000002,7.4000001,4.8000002,3.5999999,2.5999999,6.9000001,4.1999998,6.1999998,7.4000001,4.6999998,3.8,1.8,5.5999999,9.1999998,3.7,2.9000001,3.5
2012,1236,158,9,47,65,125,40,82,36,30,10,7,137,47,43,42,61,22,6,14,333,27,4,67,7.6999998,5.1999998,2.3,4.3000002,12.2,3.5999999,3.9000001,6.4000001,6.4000001,4.3000002,3,2,7.5,4.0999999,7.3000002,6.3000002,4.8000002,3.0999999,1.3,4.8000002,10.1,3,2.9000001,4.4000001
2013,1499,176,15,82,48,136,34,52,43,39,16,10,135,42,43,45,80,20,19,13,413,36,5,71,9.1999998,5.8000002,3.9000001,7.3000002,8.8000002,3.9000001,3.2,4,7.5999999,5.5,4.8000002,2.8,7.3000002,3.5999999,7.1999998,6.5999999,6.1999998,2.8,4.0999999,4.3000002,12.4,4,3.5,4.5999999
2014,1500,200,7,81,74,148,21,80,58,27,10,8,164,59,51,60,65,17,22,10,444,23,6,112,9.1000004,6.5999999,1.8,7.1999998,13.3,4.1999998,2,6.0999999,10.1,3.8,2.9000001,2.2,8.8000002,5,8.3999996,8.6999998,4.9000001,2.3,4.6999998,3.2,13.2,2.5,4.0999999,7.0999999
2015,1240,165,7,63,38,136,34,63,55,38,10,7,141,57,43,52,85,23,27,16,413,35,3,86,7.4000001,5.4000001,1.8,5.5,6.6999998,3.8,3.2,4.8000002,9.5,5.1999998,2.9000001,1.9,7.5,4.8000002,6.9000001,7.4000001,6.4000001,3.0999999,5.6999998,5,12.2,3.8,2,5.4000001
