invoice,branch,city,type,gender,category,cogs,sales,date,time,payment,review
750-67-8428,a,nueva york,member,female,health and beauty,"522,83","548,97",01/05/2019,13:08,ewallet,"9,10"
226-31-3081,c,houston,normal,female,electronic accessories,"76,40","80,22",03/08/2019,10:29,cash,"9,60"
631-41-3108,a,nueva york,normal,male,home and lifestyle,"324,31","340,53",03/03/2019,13:23,credit card,"7,40"
123-19-1176,a,nueva york,member,male,health and beauty,"465,76","489,05",1/27/2019,20:33,ewallet,"8,40"
373-73-7910,a,nueva york,normal,male,sports and travel,"604,17","634,38",02/08/2019,10:37,ewallet,"5,30"
699-14-3026,c,houston,normal,male,electronic accessories,"597,73","627,62",3/25/2019,18:30,ewallet,"4,10"
355-53-5943,a,nueva york,member,female,electronic accessories,"413,04","433,69",2/25/2019,14:36,ewallet,"5,80"
315-22-5665,c,houston,normal,female,home and lifestyle,"735,60","772,38",2/24/2019,11:38,ewallet,"8,00"
665-32-9167,a,nueva york,member,female,health and beauty,"72,52","76,15",01/10/2019,17:15,credit card,"7,20"
692-92-5582,b,chicago,member,female,food and beverages,"164,52","172,75",2/20/2019,13:27,credit card,"5,90"
351-62-0822,b,chicago,member,female,fashion accessories,"57,92","60,82",02/06/2019,18:07,ewallet,"4,50"
529-56-3974,b,chicago,member,male,electronic accessories,"102,04","107,14",03/09/2019,17:03,cash,"6,80"
365-64-0515,a,nueva york,normal,female,electronic accessories,"234,75","246,49",02/12/2019,10:25,ewallet,"7,10"
252-56-2699,a,nueva york,normal,male,food and beverages,"431,90","453,50",02/07/2019,16:48,ewallet,"8,20"
829-34-3910,a,nueva york,normal,female,health and beauty,"713,80","749,49",3/29/2019,19:21,cash,"5,70"
299-46-1805,b,chicago,member,female,sports and travel,"562,32","590,44",1/15/2019,16:19,cash,"4,50"
656-95-9349,a,nueva york,member,female,health and beauty,"482,51","506,64",03/11/2019,11:03,credit card,"4,60"
765-26-6951,a,nueva york,normal,male,sports and travel,"435,66","457,44",01/01/2019,10:39,credit card,"6,90"
329-62-1586,a,nueva york,normal,male,food and beverages,"164,01","172,21",1/21/2019,18:00,credit card,"8,60"
319-50-3348,b,chicago,normal,female,home and lifestyle,"80,60","84,63",03/11/2019,15:30,ewallet,"4,40"
300-71-4605,c,houston,member,male,electronic accessories,"430,20","451,71",2/25/2019,11:24,ewallet,"4,80"
371-85-5789,b,chicago,normal,male,health and beauty,"263,94","277,14",03/05/2019,10:40,ewallet,"5,10"
273-16-6619,b,chicago,normal,male,home and lifestyle,"66,40","69,72",3/15/2019,12:20,credit card,"4,40"
636-48-8204,a,nueva york,normal,male,electronic accessories,"172,80","181,44",2/17/2019,11:15,ewallet,"9,90"
549-59-1358,a,nueva york,member,male,sports and travel,"265,89","279,18",03/02/2019,17:36,ewallet,"6,00"
227-03-5010,a,nueva york,member,female,home and lifestyle,"420,72","441,76",3/22/2019,19:20,credit card,"8,50"
649-29-6775,b,chicago,normal,male,fashion accessories,"33,52","35,20",02/08/2019,15:31,cash,"6,70"
189-17-4241,a,nueva york,normal,female,fashion accessories,"175,34","184,11",03/10/2019,12:17,credit card,"7,70"
145-94-9061,b,chicago,normal,female,food and beverages,"441,80","463,89",1/25/2019,19:48,cash,"9,60"
848-62-7243,a,nueva york,normal,male,health and beauty,"224,01","235,21",3/15/2019,15:36,cash,"7,40"
871-79-8483,b,chicago,normal,male,fashion accessories,"470,65","494,18",2/25/2019,19:39,credit card,"4,80"
149-71-6266,b,chicago,member,male,sports and travel,"702,63","737,76",1/28/2019,12:43,cash,"4,50"
640-49-2076,b,chicago,normal,male,sports and travel,"670,24","703,75",01/10/2019,14:49,cash,"5,10"
595-11-5460,a,nueva york,normal,male,health and beauty,"193,16","202,82",3/15/2019,10:12,credit card,"5,10"
183-56-6882,c,houston,member,female,food and beverages,"397,68","417,56",02/06/2019,10:42,ewallet,"7,50"
232-16-2483,c,houston,member,female,sports and travel,"68,12","71,53",01/07/2019,12:28,ewallet,"6,80"
129-29-8530,a,nueva york,member,male,sports and travel,"313,10","328,76",03/10/2019,19:15,ewallet,"7,00"
272-65-1806,a,nueva york,normal,female,electronic accessories,"547,92","575,32",1/15/2019,17:17,ewallet,"4,70"
333-73-7901,c,houston,normal,female,health and beauty,"439,36","461,33",3/23/2019,13:24,ewallet,"7,60"
777-82-7220,b,chicago,member,male,home and lifestyle,"240,96","253,01",03/03/2019,13:01,cash,"7,70"
280-35-5823,b,chicago,member,female,home and lifestyle,"86,72","91,06",1/17/2019,18:45,ewallet,"7,90"
554-53-8700,c,houston,member,male,home and lifestyle,"112,22","117,83",02/02/2019,10:11,cash,"6,30"
354-25-5821,b,chicago,member,female,sports and travel,"414,72","435,46",02/08/2019,13:03,cash,"5,60"
228-96-1411,c,houston,member,female,food and beverages,"789,60","829,08",03/04/2019,20:39,cash,"7,60"
617-15-4209,c,houston,member,male,health and beauty,"30,74","32,28",3/16/2019,19:47,cash,"7,20"
132-32-9879,b,chicago,member,female,electronic accessories,"375,84","394,63",03/09/2019,18:00,cash,"9,50"
370-41-7321,b,chicago,member,male,health and beauty,"510,21","535,72",2/27/2019,17:24,credit card,"8,40"
727-46-3608,b,chicago,member,female,food and beverages,"180,09","189,09",02/06/2019,15:47,ewallet,"4,10"
669-54-1719,b,chicago,member,male,electronic accessories,"113,58","119,26",02/10/2019,12:45,credit card,"8,10"
574-22-5561,c,houston,member,female,fashion accessories,"826,30","867,62",3/19/2019,17:08,ewallet,"7,90"
326-78-5178,c,houston,member,male,food and beverages,"639,80","671,79",02/03/2019,10:19,cash,"9,50"
162-48-8011,a,nueva york,member,female,food and beverages,"222,95","234,10",02/10/2019,15:10,cash,"8,50"
616-24-2851,b,chicago,member,female,fashion accessories,"71,48","75,05",3/22/2019,14:42,ewallet,"6,50"
778-71-5554,c,houston,member,male,fashion accessories,"15,43","16,20",1/25/2019,15:46,credit card,"6,10"
242-55-6721,b,chicago,normal,male,home and lifestyle,"32,32","33,94",03/07/2019,11:49,ewallet,"6,50"
399-46-5918,c,houston,normal,female,electronic accessories,"687,84","722,23",2/28/2019,19:01,cash,"8,20"
106-35-6779,a,nueva york,member,male,home and lifestyle,"88,68","93,11",3/27/2019,11:26,cash,"5,80"
635-40-6220,a,nueva york,normal,male,health and beauty,"716,80","752,64",02/07/2019,11:28,ewallet,"6,60"
817-48-8732,a,nueva york,member,female,home and lifestyle,"723,50","759,68",1/20/2019,15:55,cash,"5,40"
120-06-4233,c,houston,normal,male,electronic accessories,"183,66","192,84",03/12/2019,20:36,cash,"9,30"
285-68-5083,c,houston,member,female,sports and travel,"74,22","77,93",2/15/2019,17:47,credit card,"10,00"
803-83-5989,c,houston,normal,male,home and lifestyle,"334,38","351,10",2/24/2019,10:55,ewallet,"7,00"
347-34-2234,b,chicago,member,female,sports and travel,"495,63","520,41",02/03/2019,13:40,ewallet,"10,00"
199-75-8169,a,nueva york,member,male,sports and travel,"158,10","166,01",03/06/2019,12:27,credit card,"8,60"
853-23-2453,b,chicago,member,male,health and beauty,"302,96","318,11",2/14/2019,14:35,cash,"7,60"
877-22-3308,a,nueva york,member,male,health and beauty,"158,70","166,64",3/13/2019,16:40,cash,"5,80"
838-78-4295,c,houston,normal,female,health and beauty,"66,94","70,29",02/10/2019,15:43,ewallet,"6,70"
109-28-2512,b,chicago,member,female,fashion accessories,"585,66","614,94",01/07/2019,15:01,ewallet,"9,90"
232-11-3025,a,nueva york,normal,male,sports and travel,"787,70","827,09",1/24/2019,10:04,cash,"6,40"
382-03-4532,a,nueva york,member,female,health and beauty,"18,33","19,25",02/02/2019,18:50,cash,"4,30"
393-65-2792,c,houston,normal,male,food and beverages,"894,80","939,54",01/06/2019,12:46,credit card,"9,60"
796-12-2025,c,houston,normal,male,fashion accessories,"621,20","652,26",02/11/2019,16:19,cash,"5,90"
510-95-6347,b,chicago,member,female,food and beverages,"145,56","152,84",03/05/2019,18:17,ewallet,"4,00"
841-35-6630,c,houston,normal,female,electronic accessories,"455,46","478,23",03/09/2019,18:21,cash,"8,70"
287-21-9091,a,nueva york,normal,male,home and lifestyle,"672,03","705,63",1/22/2019,10:55,ewallet,"9,40"
732-94-0499,c,houston,normal,female,electronic accessories,"416,50","437,33",1/13/2019,17:04,credit card,"5,40"
263-10-3913,c,houston,member,male,fashion accessories,"441,36","463,43",01/09/2019,14:20,credit card,"8,60"
381-20-0914,a,nueva york,member,female,fashion accessories,"180,09","189,09",01/12/2019,15:48,credit card,"5,70"
829-49-1914,c,houston,member,female,food and beverages,"783,10","822,26",03/05/2019,16:24,ewallet,"6,60"
756-01-7507,c,houston,normal,female,health and beauty,"101,90","107,00",1/22/2019,18:56,cash,"6,00"
870-72-4431,c,houston,normal,female,health and beauty,"595,14","624,90",1/21/2019,14:42,credit card,"5,50"
847-38-7188,b,chicago,normal,female,food and beverages,"290,04","304,54",1/26/2019,19:56,ewallet,"6,40"
480-63-2856,c,houston,normal,male,food and beverages,"154,00","161,70",1/23/2019,18:37,ewallet,"6,60"
787-56-0757,c,houston,member,female,food and beverages,"321,44","337,51",2/23/2019,18:45,credit card,"8,30"
360-39-5055,c,houston,member,male,sports and travel,"244,55","256,78",03/09/2019,10:17,cash,"6,60"
730-50-9884,c,houston,normal,female,sports and travel,"581,42","610,49",03/05/2019,14:31,ewallet,"4,00"
362-58-8315,c,houston,normal,male,fashion accessories,"382,60","401,73",3/25/2019,10:23,cash,"9,90"
633-44-8566,a,nueva york,member,male,food and beverages,"345,66","362,94",3/27/2019,20:35,credit card,"7,30"
504-35-8843,a,nueva york,normal,male,sports and travel,"42,47","44,59",01/02/2019,16:57,cash,"5,70"
318-68-5053,b,chicago,normal,female,health and beauty,"461,94","485,04",2/27/2019,17:55,cash,"6,10"
565-80-5980,c,houston,member,female,home and lifestyle,"189,52","199,00",1/23/2019,10:25,cash,"7,10"
225-32-0908,c,houston,normal,female,sports and travel,"448,60","471,03",1/26/2019,19:54,ewallet,"8,20"
873-51-0671,a,nueva york,member,female,sports and travel,"153,86","161,55",01/10/2019,16:42,ewallet,"5,10"
152-08-9985,b,chicago,member,male,health and beauty,"579,24","608,20",03/12/2019,12:09,credit card,"8,60"
512-91-0811,c,houston,normal,male,health and beauty,"89,75","94,24",02/06/2019,20:05,credit card,"6,60"
594-34-4444,a,nueva york,normal,male,electronic accessories,"97,16","102,02",03/08/2019,20:38,ewallet,"7,20"
766-85-7061,b,chicago,normal,male,health and beauty,"878,70","922,64",3/29/2019,10:25,ewallet,"5,10"
871-39-9221,c,houston,normal,female,electronic accessories,"74,70","78,44",02/09/2019,13:11,cash,"4,10"
865-92-6136,a,nueva york,normal,male,food and beverages,"158,25","166,16",3/23/2019,10:16,ewallet,"9,30"
733-01-9107,b,chicago,normal,male,home and lifestyle,"496,20","521,01",03/05/2019,18:14,cash,"7,40"
163-56-7055,c,houston,member,male,fashion accessories,"48,71","51,15",3/26/2019,19:20,cash,"4,10"
189-98-2939,c,houston,normal,male,fashion accessories,"706,95","742,30",03/01/2019,13:22,cash,"7,20"
551-21-3069,c,houston,normal,female,electronic accessories,"207,63","218,01",02/01/2019,11:27,cash,"4,90"
212-62-1842,a,nueva york,normal,male,food and beverages,"349,56","367,04",3/28/2019,16:44,cash,"9,90"
716-39-1409,b,chicago,normal,male,health and beauty,"212,45","223,07",3/19/2019,18:19,cash,"8,00"
704-48-3927,a,nueva york,member,male,electronic accessories,"886,70","931,04",01/12/2019,14:50,ewallet,"7,30"
628-34-3388,c,houston,normal,male,fashion accessories,"164,28","172,49",01/05/2019,20:54,credit card,"7,90"
630-74-5166,a,nueva york,normal,male,sports and travel,"372,78","391,42",3/22/2019,20:19,cash,"7,40"
588-01-7461,c,houston,normal,female,food and beverages,"305,82","321,11",3/24/2019,10:43,cash,"4,20"
861-77-0145,c,houston,member,male,electronic accessories,"819,70","860,69",03/03/2019,14:30,cash,"9,20"
479-26-8945,b,chicago,member,female,sports and travel,"32,98","34,63",02/05/2019,11:32,ewallet,"4,60"
210-67-5886,c,houston,member,female,health and beauty,"294,63","309,36",02/05/2019,10:41,credit card,"7,80"
227-78-1148,b,chicago,normal,female,fashion accessories,"509,88","535,37",2/15/2019,12:44,cash,"8,40"
645-44-1170,a,nueva york,member,male,home and lifestyle,"522,63","548,76",1/19/2019,20:07,ewallet,"4,30"
237-01-6122,c,houston,member,female,home and lifestyle,"727,11","763,47",02/01/2019,20:31,credit card,"9,50"
225-98-1496,c,houston,normal,female,fashion accessories,"81,06","85,11",03/02/2019,13:01,credit card,"7,10"
291-32-1427,b,chicago,member,male,fashion accessories,"109,70","115,19",03/05/2019,12:29,ewallet,"5,30"
659-65-8956,b,chicago,member,male,fashion accessories,"51,36","53,93",1/16/2019,15:26,ewallet,"5,20"
