,0
0,"Curso de Inteligencia Artificial: ChatGPT, DALL-E y Hugging Face"
1,Curso de Prompt Engineering con ChatGPT
2,Cómo y Por Qué Aprender Data Science e Inteligencia Artificial
3,Curso de Análisis de Negocios para Ciencia de Datos
4,Curso de Ética y Manejo de Datos para Data Science e Inteligencia Artificial
5,Introducción a Excel para Principiantes
6,Curso de Excel Básico
7,Curso de Fundamentos de Matemáticas
8,Curso de Álgebra
9,Curso de Estadística y Probabilidad
10,Curso de Lenguaje y Notación Matemática
11,Curso de Pensamiento Lógico: Algoritmos y Diagramas de Flujo
12,"Curso de Pensamiento Lógico: Manejo de Datos, Estructuras y Funciones"
13,Curso de Pensamiento Lógico: Lenguajes de Programación
14,Curso de Principios de Visualización de Datos para Business Intelligence
15,Curso de Business Intelligence: Utilidad y Áreas de Oportunidad
16,Curso de Excel Intermedio para Analistas con Tableros y Fórmulas
17,Curso de Excel Avanzado con Macros
18,Curso de Excel Avanzado para Análisis de Datos
19,Curso de Fundamentos de Bases de Datos
20,Curso de PostgreSQL
21,Curso Práctico de SQL
22,Curso de PostgreSQL Aplicado a Ciencia de Datos
23,Curso Profesional de Git y GitHub
24,Curso de Tableau: Visualización de Datos y Storytelling para Negocios
25,Curso de Análisis de Datos con Power BI
26,Curso de Google Data Studio
27,Curso de Métricas para Startups en Etapa Temprana
28,Curso de Métricas para Medir el Crecimiento de tu Negocio Digital
29,Curso de Métricas y Dashboards para Startups
30,Curso de Retención para Startups
31,Curso de Fundamentos de Python
32,"Curso de Python: Comprehensions, Funciones y Manejo de Errores"
33,Curso de Introducción a la Terminal y Línea de Comandos
34,Curso de Entorno de Trabajo para Ciencia de Datos con Jupyter Notebooks y Anaconda
35,Curso de Principios de Visualización de Datos para Business Intelligence
36,Curso de Manipulación y Transformación de Datos con Pandas y NumPy
37,Curso de Visualización de Datos con Matplotlib y Seaborn
38,Curso de Funciones Matemáticas para Data Science e Inteligencia Artificial
39,Curso de Matemáticas para Data Science: Estadística Descriptiva
40,Curso de Matemáticas para Data Science: Probabilidad
41,Curso de Análisis Exploratorio de Datos
42,Curso Profesional de Git y GitHub
43,Curso de Python: PIP y Entornos Virtuales
44,Curso de Configuración Profesional de Entorno de Trabajo para Ciencia de Datos
45,Curso de Manejo de Datos Faltantes: Detección y Exploración
46,Curso de Manejo de Datos Faltantes: Imputación
47,Curso de Introducción a Machine Learning por MindsDB
48,Curso Básico de Cálculo Diferencial para Data Science e Inteligencia Artificial
49,Curso de Estadística Inferencial para Data Science e Inteligencia Artificial
50,Curso de Fundamentos de Álgebra Lineal con Python
51,Curso de Álgebra Lineal Aplicada para Machine Learning
52,Curso de Regresión Lineal con Python y scikit-learn
53,Curso de Regresión Logística con Python y scikit-learn
54,Curso de Decision Trees y Random Forest con Python y scikit-learn
55,Curso de Clustering con Python y scikit-learn
56,Curso Profesional de Machine Learning con Scikit-Learn
57,Curso de Fundamentos de Bases de Datos
58,Curso de PostgreSQL
59,Curso Práctico de SQL
60,Curso de PostgreSQL Aplicado a Ciencia de Datos
61,Curso para Crear tus Proyectos de Ciencia de Datos
62,Curso de Introducción al Despliegue de Modelos de Machine Learning
63,Laboratorio de Machine Learning: Optimización de Modelos
64,Laboratorio de Machine Learning: Puesta en Producción de Modelos
65,Curso de Fundamentos de Ingeniería de Datos
66,Curso de Fundamentos de Python
67,"Curso de Python: Comprehensions, Funciones y Manejo de Errores"
68,Curso de Introducción a la Terminal y Línea de Comandos
69,Curso Profesional de Git y GitHub
70,Curso de Python: PIP y Entornos Virtuales
71,Curso de Entorno de Trabajo para Ciencia de Datos con Jupyter Notebooks y Anaconda
72,Curso de Principios de Visualización de Datos para Business Intelligence
73,Curso de Manipulación y Transformación de Datos con Pandas y NumPy
74,Curso de Visualización de Datos con Matplotlib y Seaborn
75,Curso de Matemáticas para Data Science: Estadística Descriptiva
76,Curso de Análisis Exploratorio de Datos
77,Curso de Configuración Profesional de Entorno de Trabajo para Ciencia de Datos
78,Curso de Manejo de Datos Faltantes: Detección y Exploración
79,Curso de Manejo de Datos Faltantes: Imputación
80,Curso de Fundamentos de Bases de Datos
81,Curso de PostgreSQL
82,Curso Práctico de SQL
83,Curso de PostgreSQL Aplicado a Ciencia de Datos
84,Curso de Introducción a AWS: Fundamentos de Cloud Computing
85,"Curso de Introducción a AWS: Cómputo, Almacenamiento y Bases de Datos"
86,"Curso de Introducción a AWS: Redes, Gobernanza y Machine Learning"
87,Curso Práctico de AWS: Roles y Seguridad con IAM
88,Curso de Fundamentos de ETL con Python y Pentaho
89,Curso de Data Warehousing y Modelado OLAP
